鹌鹑蛋|韭菜:缓解肾虚腰痛阳痿|香菇:面部易长黑斑 ,猪肝:面生黑斑
火腿|紫菜:滋阴润燥,大蒜:增进营养元素吸收,丝瓜:营养均衡,山楂:能够提高蛋白质的利用率，更易消化,蘑菇:益气补脾，润燥化痰,冬瓜:蛋白质更容易吸收,洋葱:滋阴润燥,萝卜:容易消化吸收,茄子:提高抗病力 ,南瓜:降低血糖,白菜:滋阴润燥|杏仁:易导致腹痛,甘草:不利于肠胃,田螺:伤肠胃，易造成脱发,菊花:中毒,百合:中毒,香菜:耗气伤身,菱角:引起腹痛,鲫鱼:滞气,鹌鹑:使面色发黑
豇豆|绿豆:豇豆和绿豆同煮汤饮服，具有清热解毒的功效，适用于小儿夏季生痱子、小疖肿等病症。,玉米:玉米粥对于脾胃虚弱、尿频遗精、动脉硬化、冠心病、高血脂、高血压病人有着很好的食疗效果，适合这些患者长期食用，玉米粥配上,木耳:豇豆具有解渴健脾、补肾止泻、益气生津的作用；木耳则具有益气养胃润肺、凉血止血和降脂减肥的作用。所以豇豆和木耳一起吃对高,冬瓜:豇豆和冬瓜一起吃，具有补肾消肿的作用，并且对于肾炎、腰痛和浮肿患者有一定的治疗功效。,土豆:豇豆的营养成分能够让人头脑宁静,并且能够对消化系统进行调理,能消除胸膈胀满，所以豇豆和土豆搭配,可以防治急性肠胃炎、防治呕吐、腹泻等,鸡肉:增进食欲,鸡胸肉:增进食欲,仔鸡:增进食欲|
茭白|牛里脊:催乳汁,牛肉:催乳汁|蜂蜜:引发痼疾,豆腐:易形成结石
甲鱼|冬瓜:润肤明目减肥|薄荷:易导致中毒 ,皮蛋:引起食物中毒、呕吐等症状 ,咸鸭蛋:胃肠不适 ,鸭蛋:二物皆属凉性，不宜一起吃 ,鸡蛋:性咸平，孕妇及产后便秘者忌食 ,水芹菜:一起吃会中毒，可以用橄榄汁解毒 ,苋菜:一起吃难以消化 ,冬笋:伤元气,桃:心痛,柿子:消化不良,兔肉:脾胃虚寒者忌食,鸭肉:久食令人阳虚，水肿腹泻,鸭翅:水肿腹泻,芹菜:同食会中毒。
荠菜|黄鱼:二者搭配是孕妇防治缺铁性贫血的保健菜肴 ,豆腐:清热降压,鸡蛋:缓解眩晕头痛|
鸡翅|青椒:补充维生素C,蘑菇:促进蛋白质的吸收|李子:食则拉痢,芝麻:严重会导致死亡,菊花:中毒,红薯:同食会腹痛,糯米:引起身体不适,大蒜:两者功用相佐
鸡蛋|西红柿:缺乏维生素C是鸡蛋唯一的‘短处’，搭配番茄就可以弥补。,辣椒:有利于维生素的吸收 ,黄豆:降低胆固醇,玉米:防止胆固醇过高,小米面:同食用有补脾胃，益气血，活血脉的作用,小米:整体改善蛋白质的吸收。,银鱼:增加蛋白质的吸收,牡蛎 :促进骨骼生长 ,干贝:营养全面,海虾:味道与营养均会明显提升 ,北极虾:味道与营养均会明显提升 ,明虾:味道与营养均会明显提升,基围虾:味道与营养均会明显提升,紫菜:有利于营养素的吸收,苋菜:增强人体免疫力,香椿:润滑肌肤,荠菜:缓解眩晕头痛,茼蒿:帮助充分吸收维生素A,生菜:滋阴润燥清热解毒,菠菜:提高维生素B12的吸收,韭菜:补肾行气,丝瓜:润肺补肾美肤 ,百合:滋阴润燥清心安神,洋葱:提高人体对维生素c和维生素E的吸收率 ,桂圆:补气养血,羊排:搭配食用可滋补身体，增强新陈代谢,肥牛:可以提供可观的人体所需的优质蛋白质，可以调节人体代谢新陈，增强机体抗病毒能力。,青椒:缺乏维生素C是鸡蛋唯一的“短处”，搭配青椒等，就可以弥补。|鹅蛋:同食伤元气 ,鹅:损伤脾胃 ,甲鱼 :性咸平，孕妇及产后便秘者忌食 ,红薯:一起吃会腹痛,柿子:腹泻、生结石,桔子:影响蛋白质的消化吸、产生不良症状,菠萝:鸡蛋中的蛋白质与菠萝中的果酸结合，易使蛋白质凝固，影响消化,鹅肉:一起吃伤元气,兔肉:易产生刺激肠胃道的物质而引起腹泻,田鸡:同食容易中毒,地瓜:同食会腹痛。,味精:鸡蛋本身含有许多与味精成份相同的谷氨酸，所以炒鸡蛋时放味精，不仅不能增加鲜味，反而会破坏和掩盖鸡蛋的天然鲜味。,豆浆:蛋清的粘性蛋白同豆浆中的胰蛋白酶结合，使蛋白质的分解受到阻碍，降低人体对蛋白质的吸收,牛奶:鸡蛋里的某种蛋白会和牛奶里的某中营养成分相互反应，使营养价值下降，所以不宜同食。
芥菜|鸡心:增加营养素的吸收量,猪肝:有助于钙的吸收|鲫鱼:引起水肿 
精盐|杨桃:有助于维持人体的酸碱平衡|芒果: 易诱发黄疸
金银花|益母草:清热解毒|
鸡肉|薄荷:可起到消火解暑的功效,首乌:一起吃有补肝养血，滋肾益精的功效,冬虫夏草:改善身体虚弱、补肾养肝，调理疾病等功效,栗子:补血养身,茼蒿:帮助充分吸收维生素A ,冬瓜:消肿清热利尿,豇豆:增进食欲,板栗:补血养身,茶树菇:促进蛋白质的吸收,松子:增加抵抗力,油菜:强化肝脏美化肌肤 |基围虾:性味互相抵触，降低营养价值 ,明虾:性味互相抵触，降低营养价值 ,北极虾:性味互相抵触，降低营养价值 ,海虾:性味互相抵触，降低营养价值 ,芹菜:一起吃会伤元气,红薯:同食会腹痛,兔肉:腹泻,芝麻:一起吃严重会导致死亡,芥末酱:两者共食，恐助火热，无益于健康,大蒜:大蒜辛温有毒，主下气消谷、除风杀毒而鸡肉甘酸温补，两者功用相佐，且蒜气熏臭，从调味角度讲，也与鸡不合,鲍鱼:影响消化吸收,鲤鱼:性味不反但功能相乘,糯米:同食会引起身体不适。,李子:同食会引起痢疾,菊花:同食会中毒。
鸡腿菇|竹荪:提高营养素的吸收率|
鸡腿|香菇:提供高质量蛋白质|芝麻:影响维生素的吸收,鲤鱼:容易引起身体不适
韭菜|青鱼:治疗脚气 ,海虾:补益肝肾的作用,北极虾:补益肝肾的作用,明虾:补益肝肾的作用,基围虾:补益肝肾的作用,鹌鹑蛋:缓解肾虚腰痛阳痿,鸡蛋:补肾行气|虾皮:影响营养的吸收 ,蒜薹: 影响消化 ,菠菜:腹泻 ,牛里脊:中毒,牛排:中毒,牛肉:同食容易中毒。,蜂蜜:同食会阻碍血液循环。,牛奶:牛奶中含钙。牛奶与含草酸多的韭菜混合食用,就会影响钙的吸收。
韭黄|平菇:对增进食欲，缓解消化不良有效，还可解毒 |
基围虾|油菜:可提供更多人体所需的钙质,芹菜:够促进人体代谢新陈，改善机体微循环,韭菜:补益肝肾的作用,大葱:可起到益气，下乳的功效，尤其适合产后缺乳的女士食用,辣椒:有利于提高人体免疫力，并且具有开胃，消食，壮阳的作用,豆苗:吃对体质阴寒，低血压，食欲不佳，精力衰退者都有较好的食疗效果,鸡蛋:味道与营养均会明显提升,茄子:营养非常高，具有健脾宁心，降压止血的作用。比较适用于动脉硬化，高血压，脑血栓形成和坏血病患者食用 ,豆腐:容易消化，对高血压，高脂血，动脉粥样硬化的肥胖者尤宜，更适合老年肥胖者食用,丝瓜:辅助治疗肺虚咳嗽，体倦，腰膝酸软等病患|柿子:生成鞣酸钙，刺激肠胃并引起不适感，出现肚子痛、呕吐、恶心或腹泻等症状，含有较多鞣酸的水果还有葡萄、石榴、山楂等 ,猪肉:耗人阴精，造成阴虚火旺，不利于身体健康 ,黄豆:易引起消化不良 ,鸡肉:性味互相抵触，降低营养价值 ,香菇:香菇含有大量异种蛋白，容易引起过敏，而香菇又被列为气喘的引起物之一，两者不宜搭配同吃，哮喘病人尤要注意 ,南瓜:同吃会引起痢疾 ,木瓜:生成有毒物质 
鸡心|芥菜:增加营养素的吸收量|李子:腹泻
鸡胸肉|茼蒿:帮助充分吸收维生素A,冬瓜:消肿清热利尿,豇豆:增进食欲,板栗:补血养身,茶树菇:促进蛋白质的吸收,松子:增加抵抗力,油菜:强化肝脏美化肌肤 |糯米:引起身体不适 ,芝麻:严重会导致死亡,芹菜:一起吃会伤元气,李子:一起吃会引起痢疾,菊花:一起吃会中毒,红薯:同食会腹痛,兔肉:腹泻,芥末酱:两者共食，恐助火热，无益于健康,大蒜:大蒜辛温有毒，主下气消谷、除风杀毒而鸡肉甘酸温补，两者功用相佐，且蒜气熏臭，从调味角度讲，也与鸡不合,鲍鱼:影响消化吸收,鲤鱼:性味不反但功能相乘
鲫鱼|薄荷:可治小儿久咳,豆腐:清心润肺健脾利胃,绿豆芽:通乳汁,黄豆芽:通乳汁,木耳:补充核酸抗老化,花生:有利于吸收营养|梅花肉:影响营养素的吸收,芥末酱:身体不适 ,猪小排:影响营养素的吸收 ,芥菜:引起水肿 ,猪大排:影响营养素的吸收 ,山药:同食会引起腹痛、恶心、呕吐等症状。,乌鸡:中毒,猪肝:一起吃具有刺激作用，疮痈热病者忌食,火腿:滞气,五花肉:滞气,排骨:滞气,猪肉:二者起生化反应，不利于健康,蜂蜜:同食会中毒。,冬瓜:同食会使身体脱水。
鸡爪|油菜:促进胶原蛋白的吸收|
鸡胗|芡实:治遗精,山药:治小儿脾虚疳积|
决明子|枸杞:清肝明目|
桔子|黑木耳:治疗痛经|豆浆:影响消化吸收,鸡蛋:影响蛋白质的消化吸、产生不良症状,螃蟹:影响蛋白质的消化吸收,兔肉:同食导致腹泻,牛奶:影响消化，引起腹胀、腹痛、腹泻,萝卜:同食会诱发甲状腺肿
口蘑|冬瓜:利湿|味精:鲜味反失
苦瓜|玉米面:清热解暑,辣椒:润肤容颜、抗老防衰、健美、明目,青椒:抗衰老,茄子:对缓解心血管疾病有良好功效 ,洋葱:提高机体的免疫力|山竹:身体不适,猪小排:形成草酸钙阻碍钙的吸收,猪大排:形成草酸钙阻碍钙的吸收
苦菊|花生酱:清热解毒凉血止血,花生:清热解毒凉血止血 |大葱:影响营养素的吸收 
辣椒|鸡蛋:有利于维生素的吸收 ,海虾:有利于提高人体免疫力，并且具有开胃，消食，壮阳的作用 ,北极虾:有利于提高人体免疫力，并且具有开胃，消食，壮阳的作用,明虾:有利于提高人体免疫力，并且具有开胃，消食，壮阳的作用,基围虾:有利于提高人体免疫力，并且具有开胃，消食，壮阳的作用,虾:提高人体免疫力、具有开胃、消食、壮阳的作用,白菜:帮助肠胃消化、提高机体免疫力,鹌鹑:同食促进食欲,小白菜:促进食欲、帮助消化,羊肉:去除羊肉膻味,圆白菜:促进胃肠蠕动、有利于营养物质吸收,豆腐:益智美容、健脑,苦瓜:润肤容颜、抗老防衰、健美、明目,羊排:同食可去除羊肉的膻味|南瓜:影响维生素C吸收,羊肝:破坏维生素C、降低营养价值,猪肝:同食降低营养价值,胡萝卜:降低营养价值、影响维生素C的吸收,黄瓜:降低营养价值、破坏维生素C
蓝莓|酸奶:壮骨，增加免疫力|
鲢鱼|豆腐:补充钙质,藕:美容|甘草:容易引起腹泻 
莲子|南瓜:通便排毒,红薯:适合习惯性便秘和慢性肝炎患者,山药:健脾补肾,木瓜:对缓解高血压冠心病有一定的疗效 |糯米:影响钙的吸收 ,猪肚:易中毒
榴莲|山竹:消火|
梨|冰糖:补充津液,蜂蜜:缓解咳嗽|梅花肉:伤肾脏,大花蟹:不利于肠胃 ,帝王蟹:不利于肠胃,青蟹:不利于肠胃 ,大闸蟹:不利肠胃 ,梭子蟹:一起食用不利于肠胃 ,羊排:同食会造成腹泻，消化不良,猪蹄:伤肾脏,猪肉:伤肾脏,螃蟹:同食会影响肠胃消化。
鲤鱼|蜜豆:有缓解脚气利尿的作用。,红豆:消水肿,香菇:提供全面的营养,米醋:利湿,大白菜:改善妊娠水肿,紫甘蓝 :营养吸收更全面,白菜:改善妊娠水肿 ,花生:有利于营养的吸收,枣:滋补暖胃、强心补血|赤小豆:缓解脚气病，利尿 ,狗肉:二者生化反应极为复杂，可能产生不利于人体的物质 ,山药:同食会引起腹痛、恶心、呕吐等症状。,南瓜:一起吃会中毒,鸡肉:性味不反但功能相乘,鸡胸肉:性味不反但功能相乘,鸡腿:容易引起身体不适,甘草:同食会中毒。,猪肝:同食会影响消化。
荔枝|枣:同食具有健脾止泻的作用|
芦荟|苹果:生津止渴、健脾益胃、消食顺气等功效,木耳:对糖尿病的治疗有很显著的疗效,南瓜:可使面部皮肤由黑变白嫩，由粗糙变细腻 |
萝卜|羊排:同食有比较好的益智健脑的作用，具有助阳，补精，消食，顺气的作用，使补而不滞，适于身体虚弱的人食用。,肥牛:同食可为人体提供可观的蛋白质，维生素C等营养成份，具有补五脏，益气血的作用。,火腿:容易消化吸收,五花肉:易消化吸收,排骨:更容易消化吸收|阿胶:萝卜属于顺气和促消化的食物，而阿胶是补气的，一起服用的话会相抵，大大降低了阿胶的功效，起不到补血、补气的作用 ,首乌:性寒滑 ,金桔:同食会诱发或导致甲状腺肿,枣:破坏维生素 C,桔子:同食会诱发甲状腺肿,杨梅:诱发甲状腺肿,木耳: 同食会得皮炎。,橘子:萝卜食后体内可产生一种抗甲状腺物质硫氰酸，阻碍甲状腺对碘的摄取。橘子能加强硫氰酸对甲状腺的抑制作用，从而诱发或导致甲状腺肿大。,蛇肉:同食会中毒。,人参:不易消化，腹里胀气。
罗汉果|西洋菜:止咳化痰|
芦笋|大花蟹:强化骨骼 ,帝王蟹:强化骨骼,青蟹:强化骨骼,大闸蟹:强化骨骼,百合:抗癌,白果:有润肺定喘,猪肉:有利于人体维生素B12的吸收|瓠瓜:加重脾胃虚寒 ,西葫芦:加重脾胃虚寒
鲈鱼|豆腐:增加蛋白质的吸收|奶酪:引发痼疾 
绿豆芽|鲫鱼 :通乳汁|猪肝:有损营养素的吸收
绿豆|燕麦:控制血糖含量,豇豆:豇豆和绿豆同煮汤饮服，具有清热解毒的功效，适用于小儿夏季生痱子、小疖肿等病症。,燕麦片:控制血糖含量,南瓜:保健作用|狗肉:一起吃会胀破肚皮 ,鱼头:维生素B族破坏 ,冬虫夏草:导致冬虫夏草的营养流失 ,圣女果:同食伤元气 
鳗鱼|豆腐:增加蛋白质的吸收 |牛肝:二者起生化反应，不利于健康 ,白果:鳗鱼产生不利于人体的生化反应,羊肝:减少营养素的吸收
毛豆|丝瓜:清热祛痰防止便秘口臭|鱼头:维生素B族破坏 ,桂鱼:维生素B族破坏 ,蕨菜:影响营养素的吸收 
米醋|鲤鱼:利湿|
蘑菇|荷兰豆:消除油脂引起的食欲不佳,豌豆:消除油腻引起的食欲不佳,木瓜:降脂降压,鸡翅:促进蛋白质的吸收,火腿:益气补脾，润燥化痰,五花肉:益气补脾，润燥化痰,排骨:益气补脾，润燥化痰|
牛肚|白菜:增强体质|
牛里脊|芋头:养血补血,茭白:催乳汁,香菇:易于消化,菜花:帮助吸收维生素B12,土豆:保护胃黏膜,生姜:驱寒、治腹痛,芹菜:营养瘦身,南瓜:健胃益气|海螺:身体不适,鲶鱼:同食会引起中毒,橘子:不利于营养素的吸收,猪肉:性味有所抵触,红糖:不利于营养的吸收、腹胀,田螺:不易消化、腹胀,韭菜:中毒,板栗:同食削弱栗子的营养价值、不易消化
牛奶|黑豆:帮助人体更好地吸收牛奶中的维生素B12,蜂蜜:缓解贫血和痛经 ,甘蔗:能够降低甘蔗汁的寒性,桃:滋养皮肤,香蕉:提高维生素B12的吸收,草莓:有助于维生素B12的吸收,木瓜:美容养颜|橘子:引起胃炎或胃蠕动异常 ,番茄酱:降低营养素的吸收率 ,金针菇:消化不良 ,西兰花:影响钙的吸收 ,空心菜:影响钙质的吸收 ,香椿:腹胀,菠菜:一起吃会引起痢疾 ,金桔:同食会影响消化吸收，还会引起腹胀、腹痛、腹泻等症状，另外，胃肠、肾、肺功能虚寒者不可多吃，以免诱发腹痛、腰膝酸软等症。,枣:同食影响蛋白质的吸收,橙子:影响消化，引起腹胀、腹痛、腹泻,桔子:影响消化，引起腹胀、腹痛、腹泻,杨梅:影响蛋白质消化吸收,菠萝:身体不适,猕猴桃:影响消化吸收，出现腹胀、腹痛、腹泻,醋:同食会引起腹中病结，可以用地浆水治疗。,巧克力:这两者同食易结成不溶性草酸钙，不仅影响吸收，还会出现头发干枯、腹泻、缺钙和生长发育缓慢等现象。,韭菜:牛奶中含钙。牛奶与含草酸多的韭菜混合食用,就会影响钙的吸收。,菜花:牛奶含丰富的钙质，菜花所含的化学成份影响钙的消化吸收。,鸡蛋:鸡蛋里的某种蛋白会和牛奶里的某中营养成分相互反应，使营养价值下降，所以不宜同食。
牛腩|菜花:帮助吸收维生素B12,土豆:保护胃黏膜,芋头:养血补血,香菇:易于消化,南瓜:健胃益气|栗子:引起呕吐,红糖:腹胀,板栗:引起呕吐
牛蒡|藕:排毒,肥牛:同食可刺激胃肠蠕动，改善便秘等症状|
糯米|蜜豆:能改善脾虚腹泻和水肿。,红豆:改善脾虚腹泻和水肿 ,百合:改善气血消除疲劳 ,赤小豆:改善脾虚腹泻和水肿,桂花:食欲不佳，腹胀腹泻有一定缓解作用,枣:可以治疗由阳虚引起的胃部隐痛,乌鸡:滋阴补肾|苹果:不易消化 ,莲子:影响钙的吸收 ,鸡胸肉:引起身体不适 ,鸡翅:引起身体不适,仔鸡:消化不良,鸡肉:同食会引起身体不适。
藕|红螺:补气,海螺:补气,牛蒡:排毒,虾米:养血补血,虾:改善肝脏功能,皮皮虾:改善肝脏功能,鲢鱼:美容,黄鳝:滋阴健脾,猪肉:健胃壮体|白萝卜:生食寒性较大
排骨|紫菜:滋阴润燥,大蒜:增进营养元素吸收,丝瓜:均衡营养,山楂:提高蛋白质的利用率，易消化,蘑菇:益气补脾，润燥化痰,冬瓜:蛋白更易吸收,洋葱:滋阴润燥,萝卜:更容易消化吸收,茄子:提高抵抗力,南瓜:降低血糖,白菜:滋阴润燥|菊花:中毒,百合:中毒,香菜:耗气,菱角:易造成腹痛,黄豆:胀气,鲫鱼:滞气,鹌鹑:使人面色发黑,田螺:不利于肠胃，造成脱发,甘草:不利于肠胃,杏仁:引起腹痛
苹果|青鱼:治疗腹泻,黄鱼:有助于营养的全面补充,芦荟:生津止渴、健脾益胃、消食顺气等功效,银耳:润肺止咳|紫甘蓝:影响维生素的吸收 ,糯米:不易消化 ,沙丁鱼:身体不适
平菇|豆腐:增加蛋白质的吸收,西兰花:防癌抗癌,韭黄:对增进食欲，缓解消化不良有效，还可解毒 ,冬瓜:利湿|驴肉:易引发心绞痛
皮皮虾|燕麦:护心解毒,丝瓜:润肺补肾美肤,藕:改善肝脏功能|葡萄:身体不适 ,乌鸡:中毒 ,西红柿 :产生砒霜会中毒 ,南瓜:痢疾,洋葱:形成草酸钙产生结石,西瓜:腹痛、腹泻、恶心,木瓜:腹痛头晕，食物中毒
葡萄|虾仁:降低蛋白质的营养价值|螃蟹:身体不适 ,皮皮虾:身体不适 ,虾:身体不适 
芡实|鸡胗:治遗精|
千张|带鱼 :补钙,白萝卜:有利于消化|
茄子|海虾:营养非常高，具有健脾宁心，降压止血的作用。比较适用于动脉硬化，高血压，脑血栓形成和坏血病患者食用,北极虾:营养非常高，具有健脾宁心，降压止血的作用。比较适用于动脉硬化，高血压，脑血栓形成和坏血病患者食用 ,明虾 :营养非常高，具有健脾宁心，降压止血的作用。比较适用于动脉硬化，高血压，脑血栓形成和坏血病患者食用,基围虾:营养非常高，具有健脾宁心，降压止血的作用。比较适用于动脉硬化，高血压，脑血栓形成和坏血病患者食用 ,菠菜:加快血液循环预防癌症,苦瓜:对缓解心血管疾病有良好功效 ,羊排:两者同食能够有效预防心血管病患的发生,肥牛:同食可以强壮身体,火腿:提高抗病力 ,五花肉:可提高没免疫力,排骨:提高抵抗力,猪肉:降低胆固醇的吸收稳定血糖|黑鱼:同食有损肠胃,河蟹:一起吃会中毒，可以用藕节治疗 ,螃蟹:二者一起吃，伤人肠胃 ,墨鱼:同食容易引起霍乱。
芹菜|海虾:够促进人体代谢新陈，改善机体微循环 ,北极虾 :够促进人体代谢新陈，改善机体微循环,明虾:够促进人体代谢新陈，改善机体微循环,基围虾:够促进人体代谢新陈，改善机体微循环,香芋:二者同食可补气虚，增食欲，对身体大有裨益,红薯:降血压,核桃:润发明目养血,羊排:同食对儿童生长发育极为有利,牛里脊:营养瘦身,牛肉:营养瘦身|河蚬:破坏维生素B1 ,文蛤:影响维生素的吸收 ,虾米:将所含的维生素B1全部破坏,虾:伤元气 ,河蟹:影响蛋白质的吸收 ,蛤蜊:影响维生素的吸收 ,螃蟹:一起吃会影响蛋白质的吸收 ,牡蛎:降低锌的吸收 ,醋:损伤牙齿 ,黄豆:降低铁的吸收 ,黄瓜:芹菜中的维生素C将会被分解破坏，降低营养价值,兔肉:一起吃会脱水,鸡肉:一起吃会伤元气,鸡胸肉:一起吃会伤元气,甲鱼:同食会中毒。,菊花:同食会引起呕吐
青萝卜|紫菜: 清肺热治咳嗽,豆腐:帮助人体吸收豆腐中的营养|木耳:引发皮炎 
青蒜|莴笋:防止高血压 |
青蟹|枸杞:补肾壮阳 ,芦笋:强化骨骼,冬瓜:养精益气|苋菜:肠胃积滞 ,石榴:腹疼，呕吐、恶心 ,橘子:气滞肚胀 ,南瓜:中毒 ,柚子:刺激肠胃 ,红薯:胆结石 ,甜瓜:腹泻 ,柿子:腹泻、腹痛，中毒 ,梨:不利于肠胃 ,猕猴桃:中毒 
青鱼|苹果:治疗腹泻,韭菜:治疗脚气 ,银耳:滋补身体|西红柿:不利于营养成分的吸收 ,李子:引起身体不适
秋刀鱼|豆腐:促进钙的吸收|枣:令人腰腹作痛 
桑葚|小米面:同食具有保护心血管的功效,蜂蜜:可滋阴补血、适用于阴血亏虚所致的须发早白、头目晕眩、女子月经不调、闭经等。,醋:预防感冒、益肾、帮助消化、预防便秘等功效 ,粳米:同食可补肝益肾、养血润燥、消除脑力疲劳、常吃有利于记忆力减退、精力不集中、多梦、失眠等症状的改善。|鸭蛋:同食可能导致胃癌,鸭肉:同食可能导致胃癌
三文鱼|西红柿:滋润肌肤抗衰老,圣女果:滋润肌肤抗衰老|
山药|扁豆:补脾益肾,玉米:吸收更多的营养素,银耳:滋阴润肺,莲子:健脾补肾,甘蔗:咳嗽有痰者，二者同食对身体非常有好处,枣:同食对脾胃虚弱、饮食减少、消化不良及营血虚亏有一定作用,鸭肉:补阴养肺,鸭腿:滋阴补肺的作用,鸭翅:滋阴补肺的作用,鸡胗:治小儿脾虚疳积,乌鸡:滋补,羊排:具有补血，养颜，强身，通便等作用|虾:同食会引起腹痛、恶心、呕吐等症状。,笋瓜:胡萝卜中含维生素c分解酶，若山药同食，维生素c则被分解破坏。,鹿肉:生涩易便秘,荞麦米:身体不适,鲫鱼:同食会引起腹痛、恶心、呕吐等症状。,鲤鱼:同食会引起腹痛、恶心、呕吐等症状。,黄瓜:黄瓜中含维生素c分解酶，若山药同食，维生素c则被分解破坏。,南瓜:南瓜中皆含维生素c分解酶，若山药同食，维生素c则被分解破坏。,猪肝:山药富维生素c，猪肝中含铜、铁、锌等金属微量元素，维生素c遇金属离子，则加速氧化而破坏，降低了营养价值，故食猪肝后，不宜食山药。
山楂干|枸杞:补肝益肾 ,杜仲:降血压|柠檬:影响消化,胡萝卜:维生素C则易被分解破坏,猪肝:加速氧化，会使维生素C和金属遭到破坏,海参:不易消化
山楂|枸杞:补肝益肾,杜仲:降血压,火腿:能够提高蛋白质的利用率，更易消化,五花肉:提高蛋白质的利用率，易消化,排骨:提高蛋白质的利用率，易消化|鱼头:腹痛、恶心、呕吐 ,桂鱼:腹痛、恶心、呕吐 ,笋瓜:身体不适,海参:不易消化,柠檬:影响消化,猪肝:山楂含维生素C丰富，猪肝含有较多的铜、铁、锌等金属微量元素；维生素C遇到金属离子，则加速氧化，会使维生素C和金属都遭到破坏,胡萝卜:胡萝卜富含维生素C分解酶，若含有丰富的维生素C的山楂与含有维生素C分解酶的食物同用，维生素C则易被分解破坏。
山竹|榴莲:消火|豆浆:身体不适,白菜:身体不适 ,冬瓜:身体不适,苦瓜:身体不适,西瓜:身体不适
生姜|羊排:同食可以治冷寒腹疼,牛里脊:驱寒、治腹痛,牛肉:驱寒、治腹痛|兔肉:寒热一起吃，易致腹泻,肥牛:同食会上火
圣女果|三文鱼:滋润肌肤抗衰老,圆白菜:预防癌症促进血液循环,菜花:降血脂降血压|虾:产生砒霜会中毒 ,螃蟹:同食引起腹泻 ,红薯:同食会得结石病、呕吐、腹痛、腹泻 ,绿豆:同食伤元气 ,猪肝: 猪肝使维生素C氧化脱氧，使其失去原来的抗坏血酸功能 ,黄瓜:破坏维生素C的吸收,土豆:导致食欲不佳消化不良
首乌|鸡肉:一起吃有补肝养血，滋肾益精的功效,黑鱼:可以治疗疮疡，瘰疬，精血不足，便秘等症,乌鸡:滋阴清热，调经活血|猪肉:身体不适 ,猪血:一起吃会引起身体不适 ,白萝卜:身体不适 ,羊肉:身体不适 ,萝卜:性寒滑 
水芹菜|牛肉:营养瘦身,红薯:降血压,豆腐:清肠排毒,核桃:润发明目养血 |虾米:将所含的维生素B1全部破坏 ,虾:伤元气 ,河蟹:影响蛋白质的吸收 ,蛤蜊:影响维生素的吸收 ,甲鱼:一起吃会中毒，可以用橄榄汁解毒 ,螃蟹:一起吃会影响蛋白质的吸收 ,牡蛎:降低锌的吸收 ,醋:损伤牙齿 ,兔肉:一起吃会脱水 ,黄豆:降低铁的吸收 ,黄瓜:芹菜中的维生素C将会被分解破坏，降低营养价值 
丝瓜|桂鱼:营养均衡,海虾:辅助治疗肺虚咳嗽，体倦，腰膝酸软等病患 ,北极虾 :辅助治疗肺虚咳嗽，体倦，腰膝酸软等病患 ,明虾:辅助治疗肺虚咳嗽，体倦，腰膝酸软等病患,基围虾:辅助治疗肺虚咳嗽，体倦，腰膝酸软等病患,虾:润肺补肾美肤,毛豆:清热祛痰防止便秘口臭,皮皮虾:润肺补肾美肤,鸡蛋:润肺补肾美肤 ,火腿:营养均衡,五花肉:营养均衡,排骨:均衡营养|白萝卜:伤元气
松子|玉米:防癌抗癌,枣:养颜益寿、减少皮肤病 ,鸡肉:增加抵抗力,鸡胸肉:增加抵抗力,仔鸡:增强抵抗力|
蒜苗|莴笋:防止高血压|
酸奶|蓝莓:壮骨，增加免疫力|黄豆:酸牛奶含丰富的钙质，黄豆所含的化学成份影响钙的消化吸收 ,鱼籽:不易消化 ,香蕉: 同食易产生致癌物。
蒜薹|乌鸡:预防高血压,猪肝:缓解大脑疲劳|韭菜: 影响消化 
粟米|甘蔗:适用于脾肺不足、阴虚肺燥、烦热咳嗽、咽喉不利等症 |
苔菜|黄鱼:提供较高的营养成分,有润肺健脾、补气活血、清热解毒之功效。对产后体弱虚损、腰肌劳损有一定作用|
茼蒿|鸡蛋:帮助充分吸收维生素A,蜂蜜:预防便秘 ,鸡肉:帮助充分吸收维生素A ,鸡胸肉:帮助充分吸收维生素A,仔鸡:充分吸收维生素A|柿子:同食容易易伤胃。
土豆|豆角:防止急性肠胃炎呕吐腹泻,豇豆:豇豆的营养成分能够让人头脑宁静,并且能够对消化系统进行调理,能消除胸膈胀满，所以豇豆和土豆搭配,可以防治急性肠胃炎、防治呕吐、腹泻等,牛里脊:保护胃黏膜,肥牛:同食不仅味道好，并且马铃薯富含叶酸，有着保护胃黏膜的功效。,牛腩:保护胃黏膜,牛肉:保护胃黏膜|圣女果:导致食欲不佳消化不良,柿子:吃了土豆，人的胃里会产生大量盐酸，如果再吃柿子，柿子在胃酸的作用下会产生沉淀，既难消化，又不易排出。,香蕉:同食面部会生斑。,西红柿:土豆会在人体的胃肠中产生大量的盐酸。西红柿在较强的酸性环境中会产生不溶于水的沉淀，从而导致食欲不佳，消化不良。,石榴:同食会引起中毒，可以用韭菜水解毒。
豌豆|蘑菇:消除油腻引起的食欲不佳,玉米:蛋白质互补|醋:消化不良 
莴苣|肥牛:同食有调理气血的作用|藕带:同食会造成多类营养元素被破坏 
